STORE ID,VENUE,SUB VENUE,Lat,Lng,Address,CITY,STATE,ZIP
748,Street Non-DT,End Cap,37.6728,-122.0853,783 A Street,Hayward,CA,94541
749,Street Non-DT,End Cap,40.5264,-111.8889,64 East 12300 South St.,Draper,UT,84020
751,Street Non-DT,End Cap,33.5089,-112.2647,9524 W. Camelback Rd Space 180,Glendale,AZ,85308
752,Street Non-DT,End Cap,37.2908,-121.9924,1320 El Paseo De Saratoga,San Jose,CA,95130
753,Street Non-DT,End Cap,36.1977,-115.2601,7560 W Lake Mead Blvd,Las Vegas,NV,89128
754,Street Non-DT,End Cap,38.2597,-122.0588,1630 Gateway Blvd Suite A,Fairfield,CA,94533
755,Street Non-DT,End Cap,33.4519,-111.6829,2015 N Power Rd,Mesa,AZ,85215
757,Street Non-DT,End Cap,41.5067,-87.7303,4700 Lincoln Hwy,Matteson,IL,60443
758,Street Non-DT,End Cap,32.7496,-117.1004,4371 University Ave. Suite 100,San Diego,CA,92105
759,Street DT,Free Standing,34.12,-117.489,7376 Cherry Ave,Fontana,CA,92336
760,Street Non-DT,End Cap,39.7677,-104.9006,7507 E 36th Avenue Suite 103,Denver,CO,80207
761,Street Non-DT,End Cap,39.3265,-120.2058,11262 Donner Pass Road Suite A,Truckee,CA,96161
762,Street Non-DT,End Cap,34.2365,-119.0375,2500 Las Posas Rd. #f,Camarillo,CA,93010
763,Street Non-DT,End Cap,33.4806,-112.2211,7510 West Thomas Rd.,Phoenix,AZ,85033
764,Street Non-DT,In Line,33.1328,-117.062,1485 E. Valley Parkway,Escondido,CA,92027
765,Street Non-DT,In Line,32.752,-117.2061,3146 Sports Arena Blvd. #2,San Diego,CA,92110
766,Street Non-DT,End Cap,37.7062,-121.9274,6851 Amador Plaza Rd Space 101,Dublin,CA,94568
767,Mall,Food Court,39.7319,-105.1581,14500 W Colfax Ave Fc-8,Golden,CO,80401
769,Street Non-DT,End Cap,33.1374,-117.1784,670 W. San Marcos Blvd.,San Marcos,CA,92069
770,Street Non-DT,End Cap,33.5943,-112.2207,7521 W. Cactus Road Space 104,Peoria,AZ,85381
771,Street Non-DT,In Line,37.7102,-122.1632,1271 Marina Blvd,San Leandro,CA,94577
772,Mall,In Line,42.7122,-88.9998,2500 Milton Ave.,Janesville,WI,53545
773,Street Non-DT,End Cap,39.7177,-86.3559,2667 E. Main St.,Plainfield,IN,46168
776,Street Non-DT,End Cap,39.4751,-119.7922,5140 Kietzke Lane Suite E,Reno,NV,89509
777,Street Non-DT,End Cap,39.541,-119.7161,745 Sparks Blvd #105,Sparks,NV,89434
778,Street Non-DT,End Cap,33.4653,-112.2773,10110 Mcdowell #150,Avondale,AZ,85323
780,Street Non-DT,End Cap,40.6094,-111.9806,3758 West 7800 South #c,West Jordan,UT,84088
781,Street Non-DT,End Cap,40.3646,-111.7531,148 S. Pleasant Grove Blvd,Pleasant Grove,UT,84062
782,Street Non-DT,End Cap,33.293,-111.8227,1020 E. Pecos Road #9,Chandler,AZ,85225
783,Street Non-DT,End Cap,33.7728,-118.1897,501 Long Beach Blvd.,Long Beach,CA,90802
784,Street Non-DT,End Cap,32.8311,-117.1305,9211 Clairemont Mesa Blvd.,San Diego,CA,92123
785,Street Non-DT,End Cap,37.5213,-120.8808,3180 Country Side Dr,Turlock,CA,95380
786,University,Food Court,32.8797,-117.2366,9500 Gilman Dr,La Jolla,CA,92093
787,Mall,Food Court,42.5364,-83.1116,498 W 14 Mile Rd,Troy,MI,48083
788,Street Non-DT,End Cap,33.5843,-111.9768,10637 N Tatum Blvd #105,Phoenix,AZ,85028
789,Street Non-DT,End Cap,38.7141,-121.3672,4141 Elverta Rd. Space # 10,Antelope,CA,95843
790,Street DT,Free Standing,39.3362,-76.4903,6419 Petrie Way,Rosedale,MD,21237
791,Street Non-DT,End Cap,33.7218,-116.3646,74520 Hwy. 111 #1,Palm Desert,CA,92260
792,Street Non-DT,In Line,34.1267,-118.2634,2919 Los Feliz Blvd #4,Los Angeles,CA,90039
795,Street Non-DT,End Cap,38.3484,-122.7197,431 Rohnert Park,Rohnert Park,CA,94928
796,Street Non-DT,End Cap,34.0958,-118.1267,5 E. Main St.,Alhambra,CA,91801
797,Street Non-DT,End Cap,39.7129,-104.8211,14302 E. Cedar Ave. Unit A,Aurora,CO,80012
798,Mall,Food Court,33.7242,-116.3943,72840 CA-111 #347,Palm Desert,CA,92260
799,Street Non-DT,End Cap,36.0127,-115.136,1263 E. Silverado Ranch Blvd,Las Vegas,NV,89123
800,Street DT,Free Standing,34.986,-118.9464,5810 Dennis Mccarthy Blvd,Lebec,CA,93243
801,Mall,Food Court,34.4157,-118.5578,24201 West Valencia Blvd. #122,Valencia,CA,91355
802,University,Food Court,38.9886,-76.9392,University Of Maryland,College Park,MD,20742
803,Street Non-DT,End Cap,33.6727,-112.2379,20783 N 83rd Ave #106,Peoria,AZ,85382
804,Street Non-DT,End Cap,33.932,-118.184,10923 Atlantic Blvd.,Lynwood,CA,90262
806,Street Non-DT,End Cap,34.4081,-118.579,26826 The Old Rd,Valencia,CA,91355
807,Street Non-DT,End Cap,37.7556,-121.4665,2441 N. Naglee Rd. Space# 7f,Tracy,CA,95304
808,Street Non-DT,End Cap,37.9913,-122.3065,1473 Fitzgerald Dr. Suite 101,Pinole,CA,94564
809,Street Non-DT,End Cap,37.1266,-113.6021,1091 N. Bluff St. Space# 104,Saint George,UT,84770
810,Street Non-DT,End Cap,43.6149,-116.2838,1124 N. Milwaukee,Boise,ID,83709
811,Street Non-DT,End Cap,32.6481,-116.9661,2295 Otay Lakes Rd,Chula Vista,CA,91915
812,Street Non-DT,End Cap,33.5522,-112.2579,9230 W Northern Ave Unit 101,Glendale,AZ,85305
813,Street Non-DT,End Cap,33.3362,-111.7906,756 South Gilbert Rd,Gilbert,AZ,85296
815,Street Non-DT,End Cap,47.7003,-117.4445,2223 W. Wellesley Rd Space A,Spokane,WA,99205
816,Street Non-DT,End Cap,34.2162,-119.0717,199 West Ventura Blvd,Camarillo,CA,93010
817,Mall,Food Court,45.6583,-122.5837,8700 Ne Vancouver Mall Dr.,Vancouver,WA,98662
818,Street Non-DT,End Cap,40.884,-111.8864,245 West 500 South Space B,Bountiful,UT,84010
819,Street Non-DT,Free Standing,38.8725,-104.7175,2850 New Center Point Drive,Colorado Springs,CO,80922
820,Street Non-DT,End Cap,41.2444,-111.9751,206 E 12th Street Suite D,Ogden,UT,84404
821,Street Non-DT,End Cap,33.4632,-112.3415,1550 N Dysart Rd a11,Goodyear,AZ,85338
